;Waktu Gempa;Lintang - Bujur;Magnitudo;Kedalaman;Lokasi;Dirasakan (Skala MMI)
1;27/12/2022 14:31:29 WIB;-7.26 - 107.58;1.9;10 Km;27 km Tenggara KAB-BANDUNG-JABAR;
2;26/12/2022 21:10:24 WIB;-8 - 107.36;2.7;10 Km;105 km BaratDaya KAB-GARUT-JABAR;
3;26/12/2022 11:46:03 WIB;-7.61 - 106.982;2.7;93 Km;77 km Tenggara KOTA-SUKABUMI-JABAR;
4;25/12/2022 21:18:07 WIB;-7.24 - 106.33;3.2;89 Km;35 km Tenggara BAYAH-BANTEN;
5;25/12/2022 19:20:36 WIB;-7.67 - 106.68;3.4;45 Km;77 km Tenggara KAB-SUKABUMI-JABAR;
6;25/12/2022 10:42:06 WIB;-6.85 - 105.22;3.2;22 Km;44 km BaratDaya SUMUR-BANTEN;
7;24/12/2022 12:43:05 WIB;-6.79 - 107.09;2.8;10 Km;6 km BaratLaut KAB-CIANJUR-JABAR;Dirasakan Di Cugenang, Ciseupan, Sukaresmi II MMI. Di Cipanas III MMI
8;24/12/2022 01:00:05 WIB;-6.82 - 107.03;2.2;10 Km;12 km BaratLaut KAB-CIANJUR-JABAR;
9;23/12/2022 22:00:58 WIB;-8.07 - 107.83;3.2;29 Km;84 km BaratDaya KAB-PANGANDARAN-JABAR;
10;23/12/2022 19:56:04 WIB;-6.82 - 107.07;2.4;10 Km;7 km BaratLaut KAB-CIANJUR-JABAR;
11;23/12/2022 18:41:23 WIB;-6.77 - 107.1;2.7;10 Km;7 km BaratLaut KAB-CIANJUR-JABAR;
12;23/12/2022 11:36:20 WIB;-7.62 - 106.59;39;39 Km;70 km Tenggara KAB-SUKABUMI-JABAR;
13;22/12/2022 14:21:40 WIB;-6.8 - 107.1;2.6;10 Km;4 km BaratLaut KAB-CIANJUR-JABAR;
14;22/12/2022 07:44:49 WIB;-6.81 - 107.07;2.1;10 Km;7 Km BaratDaya KAB-CIANJUR-JABAR;
15;22/12/202204 18:28 WIB;-6.99 - 108.48;3.8;5 Km;1 Km BaratDaya KAB-KUNINGAN-JABAR;dirasakan di Kuningan III MMI, Cirebon dan Majalengka II - III MMI
16;21/12/2022 22:26:22 WIB;-8.21 - 107.94;2.4;20 Km;83 Km BaratDaya KAB-PANGANDARAN-JABAR;
17;21/12/2022 18:47:07 WIB;-7.62 - 107.59;3.9;105 Km;56 Km BaratDaya KAB-GARUT-JABAR;
18;21/12/2022 15:59:21 WIB;-6.82 - 107.09;2.9;10 Km;5 Km BaratLaut KAB-CIANJUR-JABAR;Dirasakan di Karangtengah, Ciherang, Cianjur, Cugenang, Cipanas, Cilaku, Warungkondang dan Bayongbong II - III MMI
19;21/12/2022 13:28:40 WIB;-6.83 - 107.16;2;10 Km;2 km Tenggara KAB-CIANJUR-JABAR;
20;21/12/2022 12:24:51 WIB;-7.62 - 107.76;2.6;5 Km;47 km BaratDaya KAB-GARUT-JABAR;
21;21/12/2022 12:18:27 WIB;-6.81 - 107.08;2.1;10 Km;6 km BaratLaut KAB-CIANJUR-JABAR;dirasakan III MMI di Kec. Cugenang, Cianjur
22;21/12/2022 10:06:18 WIB;-7.74 - 106.94;3.3;27 Km;91 km Tenggara KOTA-SUKABUMI-JABAR;
23;20/12/2022 12:45:43 WIB;-6.8 - 107.07;2.5;10 Km;8 km BaratLaut KAB-CIANJUR-JABAR;
24;20/12/2022 07:58:50 WIB;-7.16 - 107.05;2;100 Km;30 km Tenggara KOTA-SUKABUMI-JABAR;
25;20/12/2022 07:03:07 WIB;-6.84 - 107.08;2.1;11 Km;6 Km BaratDaya KAB-CIANJUR-JABAR;
26;19/12/2022 23:45:45 WIB;-7.93 - 107.09;3;15 Km;111 km BaratDaya KAB-BANDUNG-JABAR;
27;19/12/2022 23:23:32 WIB;-6.89 - 107.2;1;11 Km;10 Km Tenggara KAB-CIANJUR-JABAR;
28;19/12/2022 05:47:48 WIB;-7.52 - 106.89;2.4;17 Km;67 km BaratDaya KOTA-SUKABUMI-JABAR;
29;19/12/2022 01:36:07 WIB;-7.43 - 106.24;3.1;20 Km;55 km BaratDaya BAYAH-BANTEN;
30;18/12/2022 14:49:28 WIB;-6.13 - 105.06;3.2;28 Km;74 km BaratDaya LAMPUNGSELATAN;
31;18/12/2022 13:23:16 WIB;-7.67 - 108.46;2.5;89 Km;5 km BaratLaut KAB-PANGANDARAN-JABAR;
32;17/12/2022 15:58:58 WIB;-7.09 - 107.31;2.7;164 Km;25 km BaratDaya KAB-BANDUNG-JABAR;
33;17/12/2022 14:58:16 WIB;-6.13 - 105.06;2.7;12 Km;74 km BaratDaya LAMPUNGSELATAN;
34;17/12/2022 09:19:01 WIB;-7.9 - 107.29;2.8;24 Km;101 km BaratDaya KAB-BANDUNG-JABAR;
35;17/12/2022 07:25:33 WIB;-6.2 - 105.1;3.3;10 Km;73 km BaratLaut SUMUR-BANTEN;
36;17/12/2022 05:38:27 WIB;-6.24 - 104.98;3;4 Km;81 km BaratLaut SUMUR-BANTEN;
37;17/12/2022 05:23:56 WIB;-6.22 - 105.09;2.7;4 Km;73 km BaratLaut SUMUR-BANTEN;
